"Part";"Value";"Device";"Package";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"POPULARITY";"PROD_ID";"SF_SKU";"SPICEPREFIX";
"+V_LOAD";"SMDPAD";"SMDPAD";"SMDPAD";"SMD Solder Pad -- mainly intended for connecting thicker wires for batteries and motors.";"";"";"";"";"";"";"";"";
"BAT0+";"SMDPAD";"SMDPAD";"SMDPAD";"SMD Solder Pad -- mainly intended for connecting thicker wires for batteries and motors.";"";"";"";"";"";"";"";"";
"BAT0-";"SMDPAD";"SMDPAD";"SMDPAD";"SMD Solder Pad -- mainly intended for connecting thicker wires for batteries and motors.";"";"";"";"";"";"";"";"";
"BAT1+";"SMDPAD";"SMDPAD";"SMDPAD";"SMD Solder Pad -- mainly intended for connecting thicker wires for batteries and motors.";"";"";"";"";"";"";"";"";
"BAT1-";"SMDPAD";"SMDPAD";"SMDPAD";"SMD Solder Pad -- mainly intended for connecting thicker wires for batteries and motors.";"";"";"";"";"";"";"";"";
"BAT2+";"SMDPAD";"SMDPAD";"SMDPAD";"SMD Solder Pad -- mainly intended for connecting thicker wires for batteries and motors.";"";"";"";"";"";"";"";"";
"BAT2-";"SMDPAD";"SMDPAD";"SMDPAD";"SMD Solder Pad -- mainly intended for connecting thicker wires for batteries and motors.";"";"";"";"";"";"";"";"";
"BAT3+";"SMDPAD";"SMDPAD";"SMDPAD";"SMD Solder Pad -- mainly intended for connecting thicker wires for batteries and motors.";"";"";"";"";"";"";"";"";
"BAT3-";"SMDPAD";"SMDPAD";"SMDPAD";"SMD Solder Pad -- mainly intended for connecting thicker wires for batteries and motors.";"";"";"";"";"";"";"";"";
"C1";"1u/6,3V";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C2";"10u";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"54";"";"";"C";
"C3";"100n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C4";"100n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C5";"4.7u";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C6";"100n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C7";"100n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C8";"100n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C9";"22p";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C10";"22p";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C11";"10n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C12";"47u";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"54";"";"";"C";
"C13";"100n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C14";"10u";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"54";"";"";"C";
"C15";"100n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C16";"100n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C17";"20uF";"C-EUC1210";"C1210";"CAPACITOR, European symbol";"";"";"";"";"0";"";"";"C";
"C18";"100n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C19";"10uF";"C-EUC1210";"C1210";"CAPACITOR, European symbol";"";"";"";"";"0";"";"";"C";
"C20";"10uF";"C-EUC1210";"C1210";"CAPACITOR, European symbol";"";"";"";"";"0";"";"";"C";
"C21";"10u";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C22";"1uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"88";"";"";"C";
"C23";"10u";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C24";"1uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"88";"";"";"C";
"C25";"47u";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"54";"";"";"C";
"C26";"1uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"88";"";"";"C";
"C27";"100nF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"88";"";"";"C";
"C28";"0.1uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"88";"";"";"C";
"C29";"2.2uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"88";"";"";"C";
"C36";"100n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C37";"100n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C40";"10u";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C42";"100n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C43";"100n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C46";"10u";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C48";"100n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C49";"100n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C52";"10u";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C87";"22p";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
